Variable,Description,Value,Probability,MeanReference,Min,Max
BIO2,"Mean diurnal range",9.4515,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.4886,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.5257,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.5628,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.5999,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.6370,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.6741,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.7112,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.7483,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.7854,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.8225,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.8596,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.8968,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.9339,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.9710,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.0081,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.0452,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.0823,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.1194,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.1565,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.1936,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.2307,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.2678,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.3049,0.0320,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.3420,0.0360,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.3791,0.0400,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.4162,0.0400,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.4533,0.0400,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.4904,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.5275,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.5646,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.6017,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.6388,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.6759,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.7130,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.7501,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.7872,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.8243,0.0440,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.8614,0.0480,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.8985,0.0480,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.9356,0.0560,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",10.9728,0.0640,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.0099,0.0640,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.0470,0.0640,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.0841,0.0640,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.1212,0.0640,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.1583,0.0640,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.1954,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.2325,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.2696,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.3067,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.3438,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.3809,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.4180,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.4551,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.4922,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.5293,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.5664,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.6035,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.6406,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.6777,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.7148,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.7519,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.7890,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.8261,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.8632,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.9003,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.9374,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",11.9745,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.0116,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.0488,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.0859,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.1230,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.1601,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.1972,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.2343,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.2714,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.3085,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.3456,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.3827,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.4198,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.4569,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.4940,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.5311,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.5682,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.6053,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.6424,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.6795,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.7166,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.7537,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.7908,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.8279,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.8650,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.9021,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.9392,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",12.9763,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.0134,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.0505,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.0876,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.1248,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.1619,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.1990,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.2361,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.2732,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.3103,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.3474,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.3845,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.4216,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.4587,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.4958,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.5329,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.5700,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.6071,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.6442,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.6813,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.7184,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.7555,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.7926,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.8297,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.8668,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.9039,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.9410,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",13.9781,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.0152,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.0523,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.0894,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.1265,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.1636,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.2008,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.2379,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.2750,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.3121,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.3492,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.3863,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.4234,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.4605,0.0600,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",14.4976,0.0600,9.9335,7.1140,14.4976
BIO3,"Isothermality (BIO2/BIO7 * 100)",26.7630,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",26.8967,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",27.0303,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",27.1640,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",27.2977,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",27.4314,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",27.5651,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",27.6988,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",27.8325,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",27.9662,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",28.0999,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",28.2336,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",28.3673,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",28.5010,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",28.6347,0.0480,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",28.7684,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",28.9021,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",29.0358,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",29.1695,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",29.3032,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",29.4369,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",29.5706,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",29.7043,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",29.8379,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",29.9716,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",30.1053,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",30.2390,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",30.3727,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",30.5064,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",30.6401,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",30.7738,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",30.9075,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",31.0412,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",31.1749,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",31.3086,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",31.4423,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",31.5760,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",31.7097,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",31.8434,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",31.9771,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",32.1108,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",32.2445,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",32.3782,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",32.5119,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",32.6456,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",32.7792,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",32.9129,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",33.0466,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",33.1803,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",33.3140,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",33.4477,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",33.5814,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",33.7151,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",33.8488,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",33.9825,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",34.1162,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",34.2499,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",34.3836,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",34.5173,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",34.6510,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",34.7847,0.0400,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",34.9184,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",35.0521,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",35.1858,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",35.3195,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",35.4532,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",35.5868,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",35.7205,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",35.8542,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",35.9879,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",36.1216,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",36.2553,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",36.3890,0.0360,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",36.5227,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",36.6564,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",36.7901,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",36.9238,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",37.0575,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",37.1912,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",37.3249,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",37.4586,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",37.5923,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",37.7260,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",37.8597,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",37.9934,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",38.1271,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",38.2608,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",38.3945,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",38.5281,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",38.6618,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",38.7955,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",38.9292,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",39.0629,0.0320,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",39.1966,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",39.3303,0.0280,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",39.4640,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",39.5977,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",39.7314,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",39.8651,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",39.9988,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",40.1325,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",40.2662,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",40.3999,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",40.5336,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",40.6673,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",40.8010,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",40.9347,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",41.0684,0.0240,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",41.2021,0.0200,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",41.3358,0.0200,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",41.4694,0.0200,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",41.6031,0.0200,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",41.7368,0.0200,36.9926,26.7630,53.3683
BIO3,"Isothermality (BIO2/BIO7 * 100)",41.8705,0.0200,36.9926,26.7630,53.3683
